ID	name	rank1	rank2	metric1	metric2
c80809_g1	c80809_g1	102	3537	0.684841846	0.098616303
c97414_g1	c97414_g1	103	8539	0.682103644	-0.011004303
c89280_g1	c89280_g1	104	628	0.672941286	0.323271648
c79506_g2	c79506_g2	105	16080	0.671533838	-0.936378323
c91268_g4	c91268_g4	106	1600	0.671277524	0.185735118
c94272_g3	c94272_g3	107	15477	0.664361086	-0.371397831
c94121_g2	c94121_g2	108	16318	0.663300576	-5.367199793
c92829_g7	c92829_g7	109	2681	0.660201614	0.128212584
c90711_g3	c90711_g3	110	14704	0.657263394	-0.240518271
c96502_g2	c96502_g2	111	16294	0.65434325	-3.166536203
c88937_g2	c88937_g2	112	13488	0.650904885	-0.150289645
c96940_g2	c96940_g2	113	1066	0.650173139	0.241588659
c97290_g3	c97290_g3	114	1124	0.647335976	0.232076962
c83797_g4	c83797_g4	115	16052	0.645557209	-0.843508225
c78918_g4	c78918_g4	116	15635	0.639244231	-0.42655911
c91692_g3	c91692_g3	117	15896	0.637274417	-0.599073107
c85511_g2	c85511_g2	118	668	0.637048282	0.313066236
c93242_g3	c93242_g3	119	13124	0.63430618	-0.133276131
c90217_g7	c90217_g7	120	456	0.62835162	0.378520501
c86178_g2	c86178_g2	121	2921	0.62648824	0.11963179
c85304_g1	c85304_g1	122	71	0.62451124	0.945188545
c89220_g2	c89220_g2	123	4731	0.624227686	0.066338767
c75719_g1	c75719_g1	124	15926	0.621527952	-0.627098195
c88849_g8	c88849_g8	125	15621	0.619230251	-0.421129811
c94653_g1	c94653_g1	126	15557	0.616618312	-0.395448244
c92268_g1	c92268_g1	127	14582	0.615614052	-0.229207067
c89835_g5	c89835_g5	128	14224	0.614909314	-0.198299902
c90580_g2	c90580_g2	129	6063	0.614493245	0.038396985
c88962_g3	c88962_g3	130	3078	0.614174711	0.113904815
c96242_g1	c96242_g1	131	589	0.607966702	0.332398082
c89296_g8	c89296_g8	132	138	0.607503682	0.690449892
c88785_g1	c88785_g1	133	52	0.607429971	1.1029803
