"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37"
"c92217_g2",9.51807324780472,9.87738144015387,9.49769551841602,10.1992570625866,9.35678572649572,10.235277729792,9.38239735081374,10.0714828066463,9.63649992259523,9.83799149410146,9.34994791288551,9.23434131955217,10.1301694420349,10.0860375902816,9.34412040846952,9.7230844208318,9.29156065364733,10.1526721151017,9.83969256861872,10.0993949110674,9.36168880526462,9.73989017577042,9.36140597770651,10.1620356040899,9.38765869805865,9.38088103269075,10.1036020393164,9.71714119949567,9.40892164733251,10.2029008067641,9.89049352014296,10.1561840615623,9.41883223515171,9.80836950124163,9.29142273697834,9.24988760544843,9.44485861511968
"c91472_g6",9.54606383564383,9.83761120170417,9.20908262200724,10.04079855013,8.91349955295628,9.79831522765156,8.96599745850949,9.98711592172601,9.68790136011663,9.69025970309093,9.79444794276133,9.334710428486,10.2236399365927,10.4944343157494,9.5275620310836,9.93189713686156,9.3693963813554,9.78191358319701,9.18741739569535,9.88091516823193,9.54372491454681,9.9189890482534,9.24158860825538,9.62270225657401,9.32944866794221,9.46830120419298,10.2816632047603,10.4218064743298,9.4308650669841,9.42788335318484,9.13025395721344,10.2349007617698,8.91362928728302,10.0104984045698,8.50227305270229,9.39970260144279,9.2801810428081
"c93339_g1",9.85765373729515,9.58499538719921,9.85216459775137,9.51543436296204,9.71604978797827,9.66547093250832,9.90326528322389,9.51866280412719,9.65384127984217,9.92576607286196,9.84603550958918,9.66589156801063,9.50287006176365,9.54652552966391,9.83212500408628,9.50208307764433,9.57481475728646,9.46275329654302,9.50334372815113,9.61191776336108,9.73381218854971,9.44265863172795,9.74679396708652,9.65761602155861,9.84884189826184,10.0324593617781,9.45755948833641,9.53554875987013,9.68750494479627,9.4432988523719,9.84701223351293,9.50199502946416,9.95432234122937,9.66686988401113,9.85055154948232,9.72574598318429,9.80567367499742
"c97290_g3",7.95324354409216,7.71194544852986,8.39411226102085,7.84106635352552,8.19284389644029,7.63724461912058,8.03742509319207,8.00338766424832,7.89139928575922,8.07730125093114,7.8705524589362,8.25544681671918,7.72492399676279,7.74402252361399,8.16959168818829,7.36303590441876,7.80395996987292,7.57643475269582,7.76649634961522,7.63683487942605,8.31110177741392,7.76645414005781,7.9133338500649,7.64560748736437,8.03422209200152,8.0996198290081,7.74460771803092,7.9132368114448,8.11925085072057,8.08211144008727,8.03259209159445,7.66194175040268,7.97357630403585,7.9020366485942,8.31794124452012,7.96973894793353,8.37329125248528
"c93765_g1",8.13881115611955,8.17098122727915,8.41881518737578,8.04801285463825,8.43687904842032,8.04487432934523,8.48796706178793,8.22590618995768,8.26822746268713,8.15676110758099,8.18123025745097,8.24279873859665,8.00498548338648,8.09349595798593,8.46365312895073,8.20396461596144,8.33316024567928,8.17295770352379,8.13857022244658,8.0645083623517,8.43115448143178,7.98294329311714,8.26247189934611,8.22776299997601,8.41372547900074,8.38440697904575,8.0039902377718,8.02291022959001,8.20445210220837,8.14345772659053,8.40460353227043,8.06601526306344,8.4303147002294,8.24390241299339,8.40919696532055,8.26253987399142,8.27191256354252
"c84703_g2",7.70262547198476,7.41729482047127,7.58227588753681,7.38638583085115,7.67777592831213,7.52171642270948,7.65277066907745,7.4511386343324,7.39556241878137,7.39347957368783,7.48447665078861,7.78824487695121,7.59331484945625,7.43016735880664,7.65793280373429,7.37709204163436,7.73266658296745,7.46786400986675,7.49355704567364,7.63683487942605,7.74329897824192,7.4334541929373,7.5982525149515,7.37714821452169,7.74750932754417,7.69339097236476,7.37322485654249,7.47149568292385,7.78759738102085,7.46478303573882,7.74953564942713,7.47967938946543,7.78631275948101,7.55001194602966,7.63632349492204,7.49914111615695,7.63765276909708
"c89599_g3",11.6640033470797,10.0701002023456,11.3263077873804,10.2107493746379,10.7065767197935,9.67826688718377,10.8598789549776,9.65187810599011,11.2359476757499,11.0511135225137,10.9489700391438,10.7784735302108,9.82051128579118,9.99676000426259,10.959699704224,9.94542958350794,10.7191553727824,10.5115327736057,11.1302703055007,10.5730191282439,11.1792269666918,9.87328668683211,11.399847457434,10.0355289439291,11.2847718906661,11.2582655389508,10.1594888214499,9.95931734985765,11.2513135092756,9.7734457321267,11.059179380631,9.88025489334347,10.9751167563051,9.69542615893397,10.8001370452066,11.0015814433117,11.2431471963036
"c83616_g1",7.44252323435538,8.15912858875825,7.43481290040763,7.72893207994391,7.37243486738075,7.82088629727452,7.38764850885348,7.93175943648278,7.54421814144384,7.97476106205763,7.38951743038551,7.53157368178081,8.01387947091144,7.73618453877193,7.64887247147065,7.9975243855151,7.4736218441524,7.94525934458083,7.47002542814813,7.75603824873199,7.40733996804347,7.90866412018125,7.43988101630651,8.06081568010541,7.529983381159,7.31800187349271,7.80001370116399,8.23036482023388,7.60613738270366,8.25792804706785,7.51541722487243,7.92786292775406,7.57986682704928,7.86779587765763,7.44447011145748,7.33757123198414,7.47330130009561
"c92240_g7",8.31523110394868,8.27298940620217,7.89820006053441,8.49579789972118,7.92380891085206,8.29391050093728,7.848650805299,8.3105456525927,7.85246053683549,8.27908293881582,7.8112259016449,7.90203760331713,8.43913696543785,8.46636465383443,7.92995608165358,8.53287007107654,7.81379786097585,8.7299745423951,8.28987973189351,8.25819410570398,8.01210608519605,8.19756257843313,7.7874365230199,8.44353235147025,7.75539390908474,7.91356766002969,8.28070216538533,8.44340092980122,7.92407328996448,8.41263711298665,7.99346498330444,8.32828218254322,7.96758042390994,8.26512274356814,7.95495613805038,8.2226985255999,8.02938540515804
"c93487_g4",7.92713026010151,7.75423513860914,7.91651372837556,7.60460180589939,7.55872968234372,7.42903907456969,7.50015903423152,7.55850341112806,7.8391928980018,7.95681017501166,7.49350781480667,7.92682681225724,6.87299893094448,7.14038921685608,7.90831987766984,7.25845330770003,8.0119777569192,6.95745684158941,6.71703048754139,7.4295541509411,7.62908913102433,7.59593299882409,8.15033856461685,7.26916524526997,7.95711770078048,8.04529401501577,7.36426888977577,7.0524031199595,8.08349726413533,6.95417391942183,7.88256287291997,7.563222630859,8.09320034531267,6.97072997336832,7.48690749621282,8.19543487736032,7.89460751841521
"c94301_g5",9.43704600035818,9.02080752523969,9.47324979306766,9.212147979576,9.56620978230637,9.17944928525389,9.56865762485068,9.19315857094908,9.42622820131054,9.21540548720729,9.24915483594083,9.56063885575691,9.40858281637102,9.33245861506051,9.61414533704687,9.23367910467496,9.65871714536122,9.22910355391658,9.29574633683782,8.97453868990956,9.50914506334812,9.06296497562605,9.36518738224898,8.97741544268485,9.43034450419456,9.13973176044689,9.04078774083652,9.37408456344163,9.53418796296369,9.25055372571514,9.36987634177094,9.21292440773891,9.40448225944325,9.07618277636282,9.58669052603593,9.44721472216454,9.41255532295107
